Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Impresiones,Tasa de clics de las impresiones (%)
Total,,,,32201,894.3928,650,595545,2.66
Defyt5gOBQo,"Hagadá, Puppets y Matzá | La historia de Pesaj contada como nunca antes | Hagadá Animada","Apr 12, 2025",1234,3051,160.4444,29,62029,2.59
w4GK3pplW_Y,Torah Kids Puppets | Parashá 11 Vaigash #educación #infantil #judaísmo #judaismo #judaism #parashá,"Aug 17, 2023",57,1480,9.2078,20,36532,2.18
 -wxWR4UiXXI,Torah Kids Puppets | Parashá 6 Toldot #educación #infantil #judaísmo #judaismo #judaism #parashá,"Aug 17, 2023",59,1022,7.0297,13,27824,1.8
hh4ppg7E5yI,Torah Kids Puppets | Parashat 3 Lej Lejá - Parashá en un minuto,"Jul 26, 2023",60,1003,6.4843,10,17027,2.65
nvzRK0GQZgk,¿Qué hacía un Rebe en un Casino de París? 🎰🇫🇷 | Cuentos de la Parashá,"Jan 9, 2026",307,973,31.0053,44,21698,2.3
h10wQ1V3yt0,Un cuento que enciende el corazón | Parashá Ajarei Mot | Torah Kids Puppets,"Jan 1, 2026",346,913,32.6875,8,7334,3.49
9Nhcw27C7fU,Torah Kids Puppets | Parashat 26 Sheminí - פרשת כו שמיני,"May 25, 2024",412,881,27.7518,45,19998,3.51
NLB8leKLO4k,¿Etrog o Caballo? 🐴🍋 | La decisión más difícil (Parashat Vaijí),"Jan 2, 2026",346,840,29.362,15,5870,4.68
pow5BUl1A5M,Torah Kids Puppets | Parashá 8 Vaishlaj #educación #infantil #judaísmo #judaismo #judaism #parashá,"Aug 17, 2023",55,701,3.8361,9,19067,1.77
uQdfLlJ98IQ,Torah Kids Puppets | Cuentos de la Tradición: Tesoros de Pureza,"Nov 20, 2023",185,615,10.7776,8,17025,2.5
5wE1ZTeTOIU,Torah Kids Puppets | ¡La Chispa de Janucá!,"Dec 8, 2023",670,571,30.5736,12,5975,6.44
p4gsg2bZ3jo,Torah Kids Puppets | Parashá 12 Vaiejí #educación #infantil #judaísmo #judaismo #judaism #parashá,"Aug 17, 2023",60,560,5.6702,8,11591,1.66
oLAULPrPEj8,Torah Kids Puppets | Parashá 2 Noaj - Parashá en un minuto,"Jul 25, 2023",59,553,2.6141,1,11188,1.66
Olinh9ZgvYk,Torah Kids Puppets | Parashá 7 Vaietzé #educación #infantil #judaísmo #judaismo #judaism #parashá,"Aug 17, 2023",56,478,2.7473,7,13963,1.4
 --Z6J-rIgrk,Torah Kids Puppets | Estudiemos las Parashot - Parashat 4 Vaierá פרשת ד וירא,"Nov 13, 2022",425,477,11.5717,9,16788,2.34
GHcExyGsd4o,Torah Kids Puppets | Hagadá De Pesaj Animada | Hagadah Shel Pesaj Le Yeladim | הגדה של פסח,"Apr 16, 2022",1553,472,18.3432,6,9623,2.94
MIhXjY5Fo7c,¿Noaj fue egoísta? 🤨 | El Tzadik del abrigo de piel (Parashat Noaj),"Jan 8, 2026",261,430,12.4449,3,2454,5.3
cqd6YZU86nM,¿Por qué el Rabino NO quiso rezar? 🛑 | El enemigo invisible (Parashat Bereshit),"Jan 8, 2026",367,430,18.6506,6,2612,5.93
oGBrpfV6Wug,Torah Kids Puppets | Parashá 4 Vaierá - Parashá en un minuto,"Jul 26, 2023",60,429,1.8867,4,10743,1.29
wWVrrqyVRls,Torah Kids Puppets | Parashat 13 Shemot - פרשת יג שמות,"Jan 6, 2024",512,405,13.6936,4,12040,1.93
msarrAETqGI,Torah Kids Puppets | Parashá 5 Jaié Sará #educación #infantil #judaísmo #judaismo #judaism #parashá,"Jul 26, 2023",59,387,2.6697,0,10222,1.2
ndf9CmDBHWY,Torah Kids Puppets | Yosef y el Shabat,"Aug 27, 2021",369,378,15.7386,7,2848,9.09
EC-Nnceu_ms,Torah Kids Puppets | Parsha en un minuto 24 Vaikra #tora#aprendizajedivertido#niñosfelices#funny,"Mar 23, 2024",45,369,1.7527,4,2181,1.56
XCP6sLsrT6Q,Torah Kids Puppets | Parashá 1 Bereshit - Parashá en un minuto. #educación #infantil #judaísmo,"Jul 25, 2023",59,367,2.578,2,9661,1.65
8rAPAkIKRHE,Torah Kids Puppets | Estudiemos las Parashot - Parashat 1 Bereshit פרשת א בראשית,"Oct 3, 2021",574,358,18.4796,7,4839,4.46
upcJnnNbcO8,Torah Kids Puppets | Parashá 10 Miketz #educación #infantil #judaísmo #judaismo #judaism #parashá,"Aug 17, 2023",60,349,2.287,2,6579,1.92
o9mvIBnXtxE,Torah Kids Puppets | Sukot,"Sep 30, 2021",596,342,18.1442,6,3536,6.84
0ZJUre6RjiY,Torah Kids Puppets | Parashat 13 Shemot - פרשת יג שמות,"Jan 13, 2024",55,335,2.0265,4,2787,2.76
cUGfwEKJB_w,Torah Kids Puppets | Parashat 27-28 Tazría-Metzorá  פרשת כז-כח תזריע-מצורע,"Aug 21, 2024",615,331,22.0716,5,4473,3.98
NeQJdLIVj0A,Torah Kids Puppets | Matzah ¿Qué es el Matzah? | מצה,"Apr 3, 2021",375,326,13.8849,6,3254,7.07
pIgwPuIPzPQ,"Torah Kids Puppets | Cuentos de la Tradición: David, el Buen Pastor.","Nov 1, 2023",235,297,8.0123,3,5380,3.14
7kJmFPyS5xk,חג סוכות שמח | Jag Sukot Sameaj #Torahkidspuppets #Sukot #סוכות,"Oct 9, 2022",16,290,0.6587,2,2788,3.59
